File,input_sifting_1,0.013
File,intermediate_sifting_1,1655.0
File,output_sifting_1,1.6
File,input_sifting_2,0.013
File,intermediate_sifting_2,1767.0
File,output_sifting_2,1.1
File,input_sifting_3,0.013
File,intermediate_sifting_3,1538.0
File,output_sifting_3,0.86
File,input_sifting_4,0.013
File,intermediate_sifting_4,1433.0
File,output_sifting_4,0.61
File,input_sifting_5,0.013
File,intermediate_sifting_5,1323.0
File,output_sifting_5,0.7
File,input_sifting_6,0.013
File,intermediate_sifting_6,1320.0
File,output_sifting_6,0.8
File,input_sifting_7,0.013
File,intermediate_sifting_7,1212.0
File,output_sifting_7,0.69
File,input_sifting_8,0.013
File,intermediate_sifting_8,1207.0
File,output_sifting_8,0.53
File,input_sifting_9,0.013
File,intermediate_sifting_9,895.0
File,output_sifting_9,0.63
File,input_sifting_10,0.013
File,intermediate_sifting_10,1014.0
File,output_sifting_10,0.6
File,input_sifting_11,0.013
File,intermediate_sifting_11,1040.0
File,output_sifting_11,1.0
File,input_sifting_12,0.013
File,intermediate_sifting_12,995.0
File,output_sifting_12,0.76
File,input_sifting_13,0.013
File,intermediate_sifting_13,694.0
File,output_sifting_13,0.25
File,input_sifting_14,0.013
File,intermediate_sifting_14,683.0
File,output_sifting_14,0.53
File,input_sifting_15,0.013
File,intermediate_sifting_15,640.0
File,output_sifting_15,0.51
File,input_sifting_16,0.013
File,intermediate_sifting_16,703.0
File,output_sifting_16,0.7
File,input_sifting_17,0.013
File,intermediate_sifting_17,625.0
File,output_sifting_17,0.89
File,input_sifting_18,0.013
File,intermediate_sifting_18,567.0
File,output_sifting_18,0.23
File,input_sifting_19,0.013
File,intermediate_sifting_19,496.0
File,output_sifting_19,1.1
File,input_sifting_20,0.013
File,intermediate_sifting_20,466.0
File,output_sifting_20,0.39
File,input_sifting_21,0.013
File,intermediate_sifting_21,283.0
File,output_sifting_21,0.17
File,input_sifting_22,0.013
File,intermediate_sifting_22,296.0
File,output_sifting_22,0.36
File,input_individuals_1,0.013
File,intermediate_individuals_1,321215.0
File,output_individuals_1,3240.0
File,input_individuals_2,0.013
File,intermediate_individuals_2,306275.0
File,output_individuals_2,3440.0
File,input_individuals_3,0.013
File,intermediate_individuals_3,294075.0
File,output_individuals_3,2860.0
File,input_individuals_4,0.013
File,intermediate_individuals_4,256500.0
File,output_individuals_4,3160.0
File,input_individuals_5,0.013
File,intermediate_individuals_5,251344.0
File,output_individuals_5,2370.0
File,input_individuals_6,0.013
File,intermediate_individuals_6,239334.0
File,output_individuals_6,2600.0
File,input_individuals_7,0.013
File,intermediate_individuals_7,221216.0
File,output_individuals_7,2300.0
File,input_individuals_8,0.013
File,intermediate_individuals_8,211582.0
File,output_individuals_8,2100.0
File,input_individuals_9,0.013
File,intermediate_individuals_9,134842.0
File,output_individuals_9,1700.0
File,input_individuals_10,0.013
File,intermediate_individuals_10,191543.0
File,output_individuals_10,2070.0
File,input_individuals_11,0.013
File,intermediate_individuals_11,188812.0
File,output_individuals_11,2160.0
File,input_individuals_12,0.013
File,intermediate_individuals_12,179787.0
File,output_individuals_12,2000.0
File,input_individuals_13,0.013
File,intermediate_individuals_13,135247.0
File,output_individuals_13,1600.0
File,input_individuals_14,0.013
File,intermediate_individuals_14,117484.0
File,output_individuals_14,1140.0
File,input_individuals_15,0.013
File,intermediate_individuals_15,112873.0
File,output_individuals_15,1220.0
File,input_individuals_16,0.013
File,intermediate_individuals_16,111473.0
File,output_individuals_16,1230.0
File,input_individuals_17,0.013
File,intermediate_individuals_17,106415.0
File,output_individuals_17,1090.0
File,input_individuals_18,0.013
File,intermediate_individuals_18,104867.0
File,output_individuals_18,1190.0
File,input_individuals_19,0.013
File,intermediate_individuals_19,97343.0
File,output_individuals_19,912.06
File,input_individuals_20,0.013
File,intermediate_individuals_20,95326.0
File,output_individuals_20,829.03
File,input_individuals_21,0.013
File,intermediate_individuals_21,52794.0
File,output_individuals_21,644.48
File,input_individuals_22,0.013
File,intermediate_individuals_22,52790.0
File,output_individuals_22,504.89
File,input_population_1,0.013
File,output_population_1,0.01
File,input_population_2,0.013
File,output_population_2,0.01
File,input_population_3,0.013
File,output_population_3,0.01
File,input_population_4,0.013
File,output_population_4,0.01
File,input_population_5,0.013
File,output_population_5,0.01
File,input_population_6,0.013
File,output_population_6,0.01
File,input_population_7,0.013
File,output_population_7,0.86
File,output_pair_1,3.0
File,output_pair_2,2.88
File,output_pair_3,2.73
File,output_pair_4,2.42
File,output_pair_5,2.4
File,output_pair_6,2.37
File,output_pair_7,2.31
File,output_pair_8,2.22
File,output_pair_9,2.18
File,output_pair_10,1.76
File,output_pair_11,2.21
File,output_pair_12,1.87
File,output_pair_13,1.62
File,output_pair_14,1.56
File,output_pair_15,1.44
File,output_pair_16,1.39
File,output_pair_17,1.32
File,output_pair_18,1.27
File,output_pair_19,1.15
File,output_pair_20,0.99
File,output_pair_21,0.86
File,output_pair_22,0.42
File,output_pair_23,3.0
File,output_pair_24,2.88
File,output_pair_25,2.73
File,output_pair_26,2.42
File,output_pair_27,2.4
File,output_pair_28,2.37
File,output_pair_29,2.31
File,output_pair_30,2.22
File,output_pair_31,2.18
File,output_pair_32,1.76
File,output_pair_33,2.21
File,output_pair_34,1.87
File,output_pair_35,1.62
File,output_pair_36,1.56
File,output_pair_37,1.44
File,output_pair_38,1.39
File,output_pair_39,1.32
File,output_pair_40,1.27
File,output_pair_41,1.15
File,output_pair_42,0.99
File,output_pair_43,0.86
File,output_pair_44,0.42
File,output_pair_45,3.0
File,output_pair_46,2.88
File,output_pair_47,2.73
File,output_pair_48,2.42
File,output_pair_49,2.4
File,output_pair_50,2.37
File,output_pair_51,2.31
File,output_pair_52,2.22
File,output_pair_53,2.18
File,output_pair_54,1.76
File,output_pair_55,2.21
File,output_pair_56,1.87
File,output_pair_57,1.62
File,output_pair_58,1.56
File,output_pair_59,1.44
File,output_pair_60,1.39
File,output_pair_61,1.32
File,output_pair_62,1.27
File,output_pair_63,1.15
File,output_pair_64,0.99
File,output_pair_65,0.86
File,output_pair_66,0.42
File,output_pair_67,3.0
File,output_pair_68,2.88
File,output_pair_69,2.73
File,output_pair_70,2.42
File,output_pair_71,2.4
File,output_pair_72,2.37
File,output_pair_73,2.31
File,output_pair_74,2.22
File,output_pair_75,2.18
File,output_pair_76,1.76
File,output_pair_77,2.21
File,output_pair_78,1.87
File,output_pair_79,1.62
File,output_pair_80,1.56
File,output_pair_81,1.44
File,output_pair_82,1.39
File,output_pair_83,1.32
File,output_pair_84,1.27
File,output_pair_85,1.15
File,output_pair_86,0.99
File,output_pair_87,0.86
File,output_pair_88,0.42
File,output_pair_89,3.0
File,output_pair_90,2.88
File,output_pair_91,2.73
File,output_pair_92,2.42
File,output_pair_93,2.4
File,output_pair_94,2.37
File,output_pair_95,2.31
File,output_pair_96,2.22
File,output_pair_97,2.18
File,output_pair_98,1.76
File,output_pair_99,2.21
File,output_pair_100,1.87
File,output_pair_101,1.62
File,output_pair_102,1.56
File,output_pair_103,1.44
File,output_pair_104,1.39
File,output_pair_105,1.32
File,output_pair_106,1.27
File,output_pair_107,1.15
File,output_pair_108,0.99
File,output_pair_109,0.86
File,output_pair_110,0.42
File,output_pair_111,3.0
File,output_pair_112,2.88
File,output_pair_113,2.73
File,output_pair_114,2.42
File,output_pair_115,2.4
File,output_pair_116,2.37
File,output_pair_117,2.31
File,output_pair_118,2.22
File,output_pair_119,2.18
File,output_pair_120,1.76
File,output_pair_121,2.21
File,output_pair_122,1.87
File,output_pair_123,1.62
File,output_pair_124,1.56
File,output_pair_125,1.44
File,output_pair_126,1.39
File,output_pair_127,1.32
File,output_pair_128,1.27
File,output_pair_129,1.15
File,output_pair_130,0.99
File,output_pair_131,0.86
File,output_pair_132,0.42
File,output_pair_133,3.0
File,output_pair_134,2.88
File,output_pair_135,2.73
File,output_pair_136,2.42
File,output_pair_137,2.4
File,output_pair_138,2.37
File,output_pair_139,2.31
File,output_pair_140,2.22
File,output_pair_141,2.18
File,output_pair_142,1.76
File,output_pair_143,2.21
File,output_pair_144,1.87
File,output_pair_145,1.62
File,output_pair_146,1.56
File,output_pair_147,1.44
File,output_pair_148,1.39
File,output_pair_149,1.32
File,output_pair_150,1.27
File,output_pair_151,1.15
File,output_pair_152,0.99
File,output_pair_153,0.86
File,output_pair_154,0.42
File,output_frequency_1,3.0
